Route,Name,Type,Status,OG Title,OG Description,OG Image,Twitter Title,Twitter Description,Twitter Image,Page Title,Meta Description
/,Homepage,page,✅ Success,Baldrick Boards - Professional LED Controller Boards,"Professional-grade controller boards for lighting displays, interactive installations, and automated shows. Baldrick8, Baldrick17, BaldrickSwitchy and more.",/assets/og-homepage-e8dc057d.jpg,Baldrick Boards - Professional LED Controller Boards,"Professional-grade controller boards for lighting displays, interactive installations, and automated shows. Baldrick8, Baldrick17, BaldrickSwitchy and more.",/assets/og-homepage-e8dc057d.jpg,Baldrick Boards - Controllers as Cunning as a Fox,"Professional-grade controller boards for lighting displays, interactive installations, and automated shows. Baldrick8, Baldrick17, BaldrickSwitchy and more."
/search-test,Search Test,page,✅ Success,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Search Test - Baldrick Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more."
/faq,FAQ,page,✅ Success,Frequently Asked Questions - Baldrick Boards,"Find answers to the most commonly asked questions about Baldrick products, setup, troubleshooting, and more.",/assets/og-faq-e8dc057d.jpg,Frequently Asked Questions - Baldrick Boards,"Find answers to the most commonly asked questions about Baldrick products, setup, troubleshooting, and more.",/assets/og-faq-e8dc057d.jpg,Frequently Asked Questions,"Find answers to the most commonly asked questions about Baldrick products, setup, troubleshooting, and more."
/where-to-buy-baldrick-boards,Where to Buy,page,✅ Success,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Where to Buy Baldrick Boards - Get Your Professional Pixel Controller,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more."
/about,About,about,✅ Success,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,About Baldrick - Baldrick Board Documentation,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more."
/boards,Boards Index,boards,✅ Success,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,All Boards - Baldrick Board Documentation,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more."
/boards/pixel-controllers,Pixel Controllers,board_category,✅ Success,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Pixel Controllers - Baldrick Board Documentation,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more."
/boards/relay-controllers,Relay Controllers,board_category,✅ Success,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Relay Controllers - Baldrick Board Documentation,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more."
/boards/interactive-controllers,Interactive Controllers,board_category,✅ Success,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Interactive Controllers - Baldrick Board Documentation,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more."
/boards/portable-controllers,Portable Controllers,board_category,✅ Success,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Portable Controllers - Baldrick Board Documentation,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more."
/boards/power-distribution,Power Distribution,board_category,✅ Success,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Power Distribution - Baldrick Board Documentation,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more."
/boards/dmx-controllers,DMX Controllers,board_category,✅ Success,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,Baldrick Boards - Professional LED Controller Boards,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more.",/assets/og-default-e8dc057d.jpg,DMX Controllers - Baldrick Board Documentation,"Professional LED controller boards for holiday lighting displays. Baldrick8, Baldrick17, BaldrickSwitchy, and more."
/boards/baldrick17/buy-this-board,Baldrick17 Buy This Board,board_buy,✅ Success,Baldrick17 - 17-Channel LED Controller Board,Advanced 17-channel LED controller board with enhanced features for complex lighting displays and professional installations.,/assets/og-default-e8dc057d.jpg,Baldrick17 - 17-Channel LED Controller Board,Advanced 17-channel LED controller board with enhanced features for complex lighting displays and professional installations.,/assets/og-default-e8dc057d.jpg,Where to Buy the Baldrick17 - Baldrick Board Documentation,Advanced 17-channel LED controller board with enhanced features for complex lighting displays and professional installations.
/boards/baldrick17/faq,Baldrick17 FAQ,board_faq,✅ Success,Baldrick17 FAQ - Frequently Asked Questions,"Common questions and answers about the Baldrick17 LED controller board, setup, troubleshooting, and features.",/assets/og-default-e8dc057d.jpg,Baldrick17 FAQ - Frequently Asked Questions,"Common questions and answers about the Baldrick17 LED controller board, setup, troubleshooting, and features.",/assets/og-default-e8dc057d.jpg,FAQ - Baldrick17 - Baldrick Board Documentation,"Common questions and answers about the Baldrick17 LED controller board, setup, troubleshooting, and features."
/boards/baldrick17/getting-started,Baldrick17 Getting Started,board_getting_started,✅ Success,Baldrick17 - 17-Channel LED Controller Board,Advanced 17-channel LED controller board with enhanced features for complex lighting displays and professional installations.,/assets/og-default-e8dc057d.jpg,Baldrick17 - 17-Channel LED Controller Board,Advanced 17-channel LED controller board with enhanced features for complex lighting displays and professional installations.,/assets/og-default-e8dc057d.jpg,Baldrick17 Getting Started - Baldrick Board Documentation,Advanced 17-channel LED controller board with enhanced features for complex lighting displays and professional installations.
